timestamp,close,open,high,low
2022/12/30,6.8972,6.9595,6.9618,6.8931
2022/12/29,6.9625,6.9805,6.9814,6.9611
2022/12/28,6.9774,6.963,6.9787,6.9616
2022/12/27,6.96,6.9629,6.9684,6.949
2022/12/26,6.961,6.9905,6.9906,6.9584
2022/12/23,6.988,6.9982,6.9985,6.9811
2022/12/22,6.9829,6.9714,6.9847,6.9714
2022/12/21,6.981,6.9655,6.9839,6.9635
2022/12/20,6.96,6.981,6.9904,6.96
2022/12/19,6.9772,6.9699,6.9854,6.9694
2022/12/16,6.9708,6.9821,6.9854,6.963
2022/12/15,6.9716,6.9471,6.9783,6.9471
2022/12/14,6.9498,6.9525,6.9634,6.9392
2022/12/13,6.943,6.9866,6.9887,6.9445
2022/12/12,6.9773,6.9827,6.9882,6.9717
2022/12/9,6.9559,6.9522,6.9635,6.9439
2022/12/8,6.9649,6.9725,6.9822,6.9646
2022/12/7,6.9702,6.9916,6.9959,6.9717
2022/12/6,6.9935,6.9612,7.0009,6.9564
2022/12/5,6.961,6.9746,6.985,6.9454
2022/12/2,7.019,7.051,7.0666,7.0194
2022/12/1,7.0424,7.045,7.0907,7.0419
2022/11/30,7.0879,7.1571,7.1573,7.0697
2022/11/29,7.1568,7.2097,7.2097,7.1547
2022/11/28,7.2074,7.2281,7.2399,7.1904
2022/11/25,7.1642,7.1642,7.1806,7.1476
2022/11/24,7.15,7.1487,7.154,7.1328
2022/11/23,7.158,7.1422,7.1725,7.1407
2022/11/22,7.1388,7.1608,7.1659,7.1323
2022/11/21,7.164,7.1508,7.1695,7.1504
2022/11/18,7.1192,7.1402,7.1558,7.1104
2022/11/17,7.1551,7.095,7.1644,7.0943
2022/11/16,7.0849,7.0496,7.09,7.0496
2022/11/15,7.044,7.0462,7.063,7.0248
2022/11/14,7.071,7.0819,7.083,7.0258
2022/11/11,7.1066,7.187,7.1897,7.0897
2022/11/10,7.184,7.2551,7.2737,7.1835
2022/11/9,7.2401,7.234,7.2564,7.2335
2022/11/8,7.2485,7.2249,7.2645,7.2202
2022/11/7,7.2266,7.2165,7.2505,7.2047
2022/11/4,7.1826,7.3015,7.3119,7.1785
2022/11/3,7.3,7.29,7.3224,7.29
2022/11/2,7.289,7.2797,7.29,7.2657
2022/11/1,7.273,7.3231,7.3285,7.255
2022/10/31,7.3015,7.2627,7.3041,7.2543
